HISTOGRAMA DE IMAGEN
====================

Total de pixeles: 262144

HISTOGRAMA CANAL RED (R)
------------------------
Valor  96: 299 pixeles
Valor  97: 342 pixeles
Valor  98: 282 pixeles
Valor  99: 276 pixeles
Valor 100: 363 pixeles
Valor 101: 530 pixeles
Valor 102: 591 pixeles
Valor 103: 562 pixeles
Valor 104: 404 pixeles
Valor 105: 447 pixeles
Valor 106: 421 pixeles
Valor 107: 402 pixeles
Valor 108: 379 pixeles
Valor 109: 419 pixeles
Valor 110: 430 pixeles
Valor 111: 392 pixeles
Valor 112: 497 pixeles
Valor 113: 530 pixeles
Valor 114: 483 pixeles
Valor 115: 446 pixeles
Valor 116: 515 pixeles
Valor 117: 477 pixeles
Valor 118: 335 pixeles
Valor 119: 347 pixeles
Valor 120: 347 pixeles
Valor 121: 371 pixeles
Valor 122: 427 pixeles
Valor 123: 411 pixeles
Valor 124: 408 pixeles
Valor 125: 604 pixeles
Valor 126: 601 pixeles
Valor 127: 386 pixeles
Valor 128: 413 pixeles
Valor 129: 420 pixeles
Valor 130: 378 pixeles
Valor 131: 418 pixeles
Valor 132: 413 pixeles
Valor 133: 368 pixeles
Valor 134: 449 pixeles
Valor 135: 438 pixeles
Valor 136: 402 pixeles
Valor 137: 453 pixeles
Valor 138: 444 pixeles
Valor 139: 394 pixeles
Valor 140: 444 pixeles
Valor 141: 414 pixeles
Valor 142: 617 pixeles
Valor 143: 627 pixeles
Valor 144: 616 pixeles
Valor 145: 595 pixeles
Valor 146: 377 pixeles
Valor 147: 438 pixeles
Valor 148: 394 pixeles
Valor 149: 563 pixeles
Valor 150: 645 pixeles
Valor 151: 397 pixeles
Valor 152: 389 pixeles
Valor 153: 424 pixeles
Valor 154: 557 pixeles
Valor 155: 553 pixeles
Valor 156: 369 pixeles
Valor 157: 386 pixeles
Valor 158: 389 pixeles
Valor 159: 549 pixeles
Valor 160: 542 pixeles
Valor 161: 342 pixeles
Valor 162: 353 pixeles
Valor 163: 412 pixeles
Valor 164: 1030 pixeles
Valor 165: 516 pixeles
Valor 166: 522 pixeles
Valor 167: 349 pixeles
Valor 168: 355 pixeles
Valor 169: 340 pixeles
Valor 170: 458 pixeles
Valor 171: 501 pixeles
Valor 172: 484 pixeles
Valor 173: 455 pixeles
Valor 174: 456 pixeles
Valor 175: 422 pixeles
Valor 176: 411 pixeles
Valor 177: 368 pixeles
Valor 178: 392 pixeles
Valor 179: 362 pixeles
Valor 180: 379 pixeles
Valor 181: 365 pixeles
Valor 182: 330 pixeles
Valor 183: 361 pixeles
Valor 184: 330 pixeles
Valor 185: 339 pixeles
Valor 186: 348 pixeles
Valor 187: 305 pixeles
Valor 188: 309 pixeles
Valor 189: 291 pixeles
Valor 190: 312 pixeles
Valor 191: 322 pixeles
Valor 192: 192 pixeles
Valor 193: 224 pixeles
Valor 194: 177 pixeles
Valor 195: 536 pixeles
Valor 196: 280 pixeles
Valor 197: 284 pixeles
Valor 198: 278 pixeles
Valor 199: 300 pixeles
Valor 200: 586 pixeles
Valor 201: 298 pixeles
Valor 202: 293 pixeles
Valor 203: 326 pixeles
Valor 204: 316 pixeles
Valor 205: 307 pixeles
Valor 206: 326 pixeles
Valor 207: 597 pixeles
Valor 208: 324 pixeles
Valor 209: 341 pixeles
Valor 210: 769 pixeles
Valor 211: 453 pixeles
Valor 212: 465 pixeles
Valor 213: 593 pixeles
Valor 214: 636 pixeles
Valor 215: 1265 pixeles
Valor 216: 683 pixeles
Valor 217: 589 pixeles
Valor 218: 575 pixeles
Valor 219: 487 pixeles
Valor 220: 922 pixeles
Valor 221: 756 pixeles
Valor 222: 364 pixeles
Valor 223: 289 pixeles
Valor 224: 274 pixeles
Valor 225: 254 pixeles
Valor 226: 471 pixeles
Valor 227: 215 pixeles
Valor 228: 236 pixeles
Valor 229: 384 pixeles
Valor 230: 366 pixeles
Valor 231: 188 pixeles
Valor 232: 187 pixeles
Valor 233: 372 pixeles
Valor 234: 220 pixeles
Valor 235: 172 pixeles
Valor 236: 392 pixeles
Valor 237: 197 pixeles
Valor 238: 166 pixeles
Valor 239: 317 pixeles
Valor 240: 296 pixeles
Valor 241: 131 pixeles
Valor 242: 134 pixeles
Valor 243: 222 pixeles
Valor 244: 112 pixeles
Valor 245: 105 pixeles
Valor 246: 224 pixeles
Valor 247: 157 pixeles
Valor 248: 131 pixeles
Valor 249: 288 pixeles
Valor 250: 302 pixeles
Valor 251: 262 pixeles
Valor 252: 133 pixeles
Valor 253: 106 pixeles
Valor 254: 159 pixeles
Valor 255: 181 pixeles

HISTOGRAMA CANAL BLUE (B)
------------------------
Valor   0: 177416 pixeles
Valor   1: 1811 pixeles
Valor   2: 1729 pixeles
Valor   3: 1589 pixeles
Valor   4: 1837 pixeles
Valor   5: 1618 pixeles
Valor   6: 1790 pixeles
Valor   7: 1608 pixeles
Valor   8: 789 pixeles
Valor   9: 781 pixeles
Valor  10: 749 pixeles
Valor  11: 910 pixeles
Valor  12: 644 pixeles
Valor  13: 638 pixeles
Valor  14: 827 pixeles
Valor  15: 556 pixeles
Valor  16: 569 pixeles
Valor  17: 512 pixeles
Valor  18: 657 pixeles
Valor  19: 452 pixeles
Valor  20: 393 pixeles
Valor  21: 634 pixeles
Valor  22: 451 pixeles
Valor  23: 551 pixeles
Valor  24: 565 pixeles
Valor  25: 549 pixeles
Valor  26: 537 pixeles
Valor  27: 552 pixeles
Valor  28: 518 pixeles
Valor  29: 520 pixeles
Valor  30: 497 pixeles
Valor  31: 500 pixeles
Valor  32: 438 pixeles
Valor  33: 459 pixeles
Valor  34: 520 pixeles
Valor  35: 397 pixeles
Valor  36: 519 pixeles
Valor  37: 382 pixeles
Valor  38: 439 pixeles
Valor  39: 356 pixeles
Valor  40: 455 pixeles
Valor  41: 439 pixeles
Valor  42: 428 pixeles
Valor  43: 421 pixeles
Valor  44: 372 pixeles
Valor  45: 391 pixeles
Valor  46: 391 pixeles
Valor  47: 344 pixeles
Valor  48: 337 pixeles
Valor  49: 361 pixeles
Valor  50: 365 pixeles
Valor  51: 346 pixeles
Valor  52: 306 pixeles
Valor  53: 360 pixeles
Valor  54: 305 pixeles
Valor  55: 318 pixeles
Valor  56: 273 pixeles
Valor  57: 285 pixeles
Valor  58: 240 pixeles
Valor  59: 296 pixeles
Valor  60: 206 pixeles
Valor  61: 304 pixeles
Valor  62: 241 pixeles
Valor  63: 298 pixeles
Valor  64: 223 pixeles
Valor  65: 273 pixeles
Valor  66: 250 pixeles
Valor  67: 289 pixeles
Valor  68: 334 pixeles
Valor  69: 289 pixeles
Valor  70: 335 pixeles
Valor  71: 260 pixeles
Valor  72: 302 pixeles
Valor  73: 343 pixeles
Valor  74: 237 pixeles
Valor  75: 266 pixeles
Valor  76: 251 pixeles
Valor  77: 281 pixeles
Valor  78: 245 pixeles
Valor  79: 283 pixeles
Valor  80: 304 pixeles
Valor  81: 204 pixeles
Valor  82: 281 pixeles
Valor  83: 244 pixeles
Valor  84: 251 pixeles
Valor  85: 230 pixeles
Valor  86: 292 pixeles
Valor  87: 257 pixeles
Valor  88: 216 pixeles
Valor  89: 274 pixeles
Valor  90: 249 pixeles
Valor  91: 290 pixeles
Valor  92: 262 pixeles
Valor  93: 281 pixeles
Valor  94: 270 pixeles
Valor  95: 263 pixeles
Valor  96: 260 pixeles
Valor  97: 292 pixeles
Valor  98: 278 pixeles
Valor  99: 222 pixeles
Valor 100: 262 pixeles
Valor 101: 474 pixeles
Valor 102: 503 pixeles
Valor 103: 450 pixeles
Valor 104: 366 pixeles
Valor 105: 362 pixeles
Valor 106: 294 pixeles
Valor 107: 316 pixeles
Valor 108: 335 pixeles
Valor 109: 315 pixeles
Valor 110: 305 pixeles
Valor 111: 271 pixeles
Valor 112: 346 pixeles
Valor 113: 377 pixeles
Valor 114: 343 pixeles
Valor 115: 314 pixeles
Valor 116: 335 pixeles
Valor 117: 337 pixeles
Valor 118: 254 pixeles
Valor 119: 243 pixeles
Valor 120: 250 pixeles
Valor 121: 249 pixeles
Valor 122: 281 pixeles
Valor 123: 302 pixeles
Valor 124: 308 pixeles
Valor 125: 436 pixeles
Valor 126: 450 pixeles
Valor 127: 288 pixeles
Valor 128: 285 pixeles
Valor 129: 255 pixeles
Valor 130: 243 pixeles
Valor 131: 221 pixeles
Valor 132: 255 pixeles
Valor 133: 222 pixeles
Valor 134: 238 pixeles
Valor 135: 256 pixeles
Valor 136: 220 pixeles
Valor 137: 225 pixeles
Valor 138: 211 pixeles
Valor 139: 214 pixeles
Valor 140: 220 pixeles
Valor 141: 198 pixeles
Valor 142: 276 pixeles
Valor 143: 316 pixeles
Valor 144: 283 pixeles
Valor 145: 275 pixeles
Valor 146: 169 pixeles
Valor 147: 168 pixeles
Valor 148: 172 pixeles
Valor 149: 257 pixeles
Valor 150: 217 pixeles
Valor 151: 191 pixeles
Valor 152: 175 pixeles
Valor 153: 176 pixeles
Valor 154: 264 pixeles
Valor 155: 254 pixeles
Valor 156: 149 pixeles
Valor 157: 139 pixeles
Valor 158: 173 pixeles
Valor 159: 196 pixeles
Valor 160: 234 pixeles
Valor 161: 151 pixeles
Valor 162: 177 pixeles
Valor 163: 149 pixeles
Valor 164: 427 pixeles
Valor 165: 212 pixeles
Valor 166: 211 pixeles
Valor 167: 122 pixeles
Valor 168: 161 pixeles
Valor 169: 140 pixeles
Valor 170: 199 pixeles
Valor 171: 182 pixeles
Valor 172: 183 pixeles
Valor 173: 201 pixeles
Valor 174: 197 pixeles
Valor 175: 211 pixeles
Valor 176: 208 pixeles
Valor 177: 214 pixeles
Valor 178: 214 pixeles
Valor 179: 255 pixeles
Valor 180: 259 pixeles
Valor 181: 293 pixeles
Valor 182: 313 pixeles
Valor 183: 304 pixeles
Valor 184: 314 pixeles
Valor 185: 378 pixeles
Valor 186: 385 pixeles
Valor 187: 378 pixeles
Valor 188: 368 pixeles
Valor 189: 327 pixeles
Valor 190: 324 pixeles
Valor 191: 346 pixeles
Valor 192: 224 pixeles
Valor 193: 241 pixeles
Valor 194: 254 pixeles
Valor 195: 638 pixeles
Valor 196: 323 pixeles
Valor 197: 310 pixeles
Valor 198: 332 pixeles
Valor 199: 341 pixeles
Valor 200: 592 pixeles
Valor 201: 263 pixeles
Valor 202: 269 pixeles
Valor 203: 217 pixeles
Valor 204: 257 pixeles
Valor 205: 243 pixeles
Valor 206: 226 pixeles
Valor 207: 392 pixeles
Valor 208: 217 pixeles
Valor 209: 201 pixeles
Valor 210: 365 pixeles
Valor 211: 191 pixeles
Valor 212: 183 pixeles
Valor 213: 171 pixeles
Valor 214: 175 pixeles
Valor 215: 337 pixeles
Valor 216: 169 pixeles
Valor 217: 162 pixeles
Valor 218: 186 pixeles
Valor 219: 167 pixeles
Valor 220: 325 pixeles
Valor 221: 320 pixeles
Valor 222: 149 pixeles
Valor 223: 177 pixeles
Valor 224: 167 pixeles
Valor 225: 168 pixeles
Valor 226: 305 pixeles
Valor 227: 124 pixeles
Valor 228: 149 pixeles
Valor 229: 250 pixeles
Valor 230: 174 pixeles
Valor 231: 95 pixeles
Valor 232: 90 pixeles
Valor 233: 166 pixeles
Valor 234: 83 pixeles
Valor 235: 76 pixeles
Valor 236: 189 pixeles
Valor 237: 122 pixeles
Valor 238: 107 pixeles
Valor 239: 241 pixeles
Valor 240: 273 pixeles
